method,seed,sample_count,entropy_mean,entropy_std,att_mean,att_std,att_min,att_q25,att_median,att_q75,att_max,avg_mean,avg_std,avg_min,avg_q25,avg_median,avg_q75,avg_max,gem_mean,gem_std,gem_min,gem_q25,gem_median,gem_q75,gem_max,max_mean,max_std,max_min,max_q25,max_median,max_q75,max_max
dyna_drop_max,42,10000,0.007289028726518154,0.00906212069094181,0.9991032481193542,0.0015571388648822904,0.9086266756057739,0.9989722967147827,0.9994866847991943,0.9997432827949524,0.9999862909317017,0.00044928202987648547,0.0007795575656928122,6.894010766700376e-06,0.0001286888145841658,0.00025723560247570276,0.0005149392527528107,0.04572285711765289,0.00044750061351805925,0.0007775817066431046,6.847841177659575e-06,0.0001280430005863309,0.00025604674010537565,0.0005127658369019628,0.04565040022134781,,,,,,,
dyna_drop_max,2026,10000,0.006732637993991375,0.008078545331954956,0.9991823434829712,0.0012636989122256637,0.9579116702079773,0.9990618228912354,0.999532163143158,0.9997617602348328,0.9999903440475464,0.00040793008520267904,0.0006308089941740036,4.799700946023222e-06,0.00011878258374053985,0.00023334658180829138,0.0004680039710365236,0.02101813815534115,0.00040970902773551643,0.0006328907329589128,4.833951152249938e-06,0.00011941890988964587,0.00023450945445802063,0.0004701550642494112,0.021070128306746483,,,,,,,
dyna_entropy,13,10000,1.248834490776062,0.1428416222333908,0.21197053790092468,0.04123402759432793,0.023079456761479378,0.18931350111961365,0.21365556120872498,0.23525872826576233,0.45715516805648804,0.21274887025356293,0.12318233400583267,0.0233134925365448,0.12180136144161224,0.18344266712665558,0.27402666211128235,0.8096393942832947,0.21515195071697235,0.06494959443807602,0.044710684567689896,0.16590625047683716,0.21565957367420197,0.26845332980155945,0.3917454183101654,0.36012861132621765,0.19329793751239777,0.00013412210682872683,0.20441797375679016,0.36948299407958984,0.5081073045730591,0.854769766330719
dyna_entropy,42,10000,1.236691951751709,0.1523124873638153,0.206190824508667,0.04292643815279007,0.03614957258105278,0.18157713115215302,0.20735496282577515,0.23102916777133942,0.4186057448387146,0.20638330280780792,0.12494693696498871,0.02218877151608467,0.11456799507141113,0.17478546500205994,0.2684161067008972,0.8634467720985413,0.21184292435646057,0.065170057117939,0.042013172060251236,0.16318100690841675,0.2116204798221588,0.2638843059539795,0.40983912348747253,0.3755829930305481,0.1987462043762207,0.000265828421106562,0.21741072833538055,0.3889254927635193,0.5285005569458008,0.8659482002258301
dyna_entropy,2026,10000,1.246651291847229,0.14225633442401886,0.2091885805130005,0.04151395708322525,0.011856511235237122,0.18625251948833466,0.2089867740869522,0.23259948194026947,0.4289182126522064,0.21225878596305847,0.12586183845996857,0.01805148273706436,0.11965732276439667,0.17998069524765015,0.27608221769332886,0.8472277522087097,0.21425259113311768,0.06455277651548386,0.04185367748141289,0.16560357809066772,0.21213623881340027,0.26622191071510315,0.4055801331996918,0.36430004239082336,0.19166411459445953,0.00010898826440097764,0.20937389135360718,0.38011494278907776,0.5114049911499023,0.8713539242744446
equal,13,10000,1.3862944841384888,1.1921524389890692e-07,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
equal,42,10000,1.3862944841384888,1.1921524389890692e-07,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
equal,2026,10000,1.3862944841384888,1.1921524389890692e-07,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25
static_mean,13,10000,0.008773863315582275,0.0,0.9990279078483582,1.1921524389890692e-07,0.9990277886390686,0.9990277886390686,0.9990277886390686,0.9990277886390686,0.9990277886390686,0.0002922750427387655,2.910528415500657e-11,0.000292275013634935,0.000292275013634935,0.000292275013634935,0.000292275013634935,0.000292275013634935,0.00029143629944883287,0.0,0.00029143629944883287,0.00029143629944883287,0.00029143629944883287,0.00029143629944883287,0.00029143629944883287,0.00038852592115290463,0.0,0.00038852592115290463,0.00038852592115290463,0.00038852592115290463,0.00038852592115290463,0.00038852592115290463
static_mean,42,10000,0.009952308610081673,9.313690929602103e-10,0.9988804459571838,0.0,0.9988804459571838,0.9988804459571838,0.9988804459571838,0.9988804459571838,0.9988804459571838,0.0003512473194859922,5.821056831001314e-11,0.0003512472612783313,0.0003512472612783313,0.0003512472612783313,0.0003512472612783313,0.0003512472612783313,0.0003525641222950071,0.0,0.0003525641222950071,0.0003525641222950071,0.0003525641222950071,0.0003525641222950071,0.0003525641222950071,0.00041571774636395276,0.0,0.00041571774636395276,0.00041571774636395276,0.00041571774636395276,0.00041571774636395276,0.00041571774636395276
static_mean,2026,10000,0.009790094569325447,1.8627381859204206e-09,0.9989007115364075,5.960762194945346e-08,0.9989007711410522,0.9989007711410522,0.9989007711410522,0.9989007711410522,0.9989007711410522,0.000339466001605615,2.910528415500657e-11,0.00033946597250178456,0.00033946597250178456,0.00033946597250178456,0.00033946597250178456,0.00033946597250178456,0.00034037703881040215,5.821056831001314e-11,0.00034037709701806307,0.00034037709701806307,0.00034037709701806307,0.00034037709701806307,0.00034037709701806307,0.0004194240609649569,2.910528415500657e-11,0.00041942409006878734,0.00041942409006878734,0.00041942409006878734,0.00041942409006878734,0.00041942409006878734
